action_id,action_name,action_type,authority_involved,prerequisites,time_limit_days,cost_estimate_min,cost_estimate_max,online_possible,risk_level,procedure_steps,embedding_text
ACTION_071,File LLP Incorporation,Administrative,Registrar of Companies,Limited Liability Partnership; Hybrid business structure,Before starting LLP business,5000,30000,Yes,Medium,"[""Reserve LLP name with MCA"",""Obtain DPIN (Designated Partner Identification Number)"",""File Form FiLLiP for incorporation"",""Upload LLP agreement"",""PAN and TAN allotted simultaneously"",""Incorporation certificate issued""]",File LLP incorporation limited liability partnership MCA business structure
ACTION_072,Apply for Trade License,Administrative,Municipal Corporation,Start business or commercial activity; Shop establishment,Before starting business,1000,10000,Partial,Low,"[""Apply to local Municipal Corporation"",""Submit shop address proof and ownership documents"",""Pay license fee based on business type"",""Inspection by municipal authorities"",""Trade license issued if compliant"",""Renewal required annually""]",Apply trade license shop establishment municipal corporation business permit
ACTION_073,File Trademark Application,Administrative,Trademark Registry,Register brand name logo; Protect intellectual property,Before commercial use recommended,5000,50000,Yes,Medium,"[""Search existing trademarks for conflicts"",""File trademark application online"",""Choose appropriate class for goods/services"",""Pay application and attorney fees"",""Examination by registrar"",""Objections if any must be replied"",""Registration in 18-24 months if no objections""]",File trademark application brand registration intellectual property trademark registry
ACTION_074,File Copyright Registration,Administrative,Copyright Office,Register original creative work; Literary artistic musical,After creation anytime; Copyright exists automatically,500,10000,Yes,Low,"[""Copyright exists on creation but registration provides evidence"",""File application with Copyright Office"",""Submit work and statement of particulars"",""Attach fee and documents"",""Examination within 30 days"",""Certificate issued if no objection"",""Prima facie evidence of ownership""]",File copyright registration original work creative intellectual property
ACTION_075,File Patent Application,Administrative,Patent Office,Protect invention; Novel non-obvious industrial application,Within 12 months of first disclosure,20000,200000,Yes,High,"[""Conduct prior art search"",""Draft complete patent specification"",""File provisional or complete application"",""Request examination within 48 months"",""Patent office examines for novelty and inventiveness"",""Respond to objections if raised"",""Patent granted if all criteria satisfied""]",File patent application invention intellectual property patent office innovation
ACTION_076,Register Property Document,Administrative,Sub-Registrar,Legal document for property transaction; Create valid title,Within 4 months of execution,5000,100000,No,Low,"[""Execute document on stamp paper of correct value"",""Both parties appear before Sub-Registrar with witnesses"",""Present original documents for verification"",""Pay stamp duty and registration fees"",""Biometric verification"",""Document registered and returned with seal"",""Creates legally valid title""]",Register property document sub-registrar stamp duty sale deed title
ACTION_077,File Complaint with Police Commissioner,Criminal,Police Commissioner,Police inaction; Serious complaint; Review of police action,When police doesn't register FIR or investigate,0,5000,Partial,Low,"[""Draft detailed complaint to Police Commissioner"",""Attach evidence and prior police complaint if any"",""Commissioner reviews and directs appropriate action"",""Police can be directed to register FIR"",""Alternative to approaching Magistrate""]",File police commissioner complaint police inaction FIR registration review
ACTION_078,File Perjury Complaint,Criminal,Magistrate/Court,False evidence given on oath; Lying in judicial proceedings,During or after proceedings when discovered,5000,50000,Partial,Medium,"[""Prove false statement given on oath in judicial proceeding"",""Show statement was material to the case"",""File complaint under IPC Section 191"",""Requires court permission usually"",""Difficult to prove as requires contradictory evidence"",""Punishment can be imprisonment""]",File perjury complaint false evidence lying court IPC 191 judicial
ACTION_079,File Right to Service Appeal,Administrative,Appellate Authority,Government department failed to provide service in stipulated time,Within specified appeal period,0,500,Yes,Low,"[""Under state Right to Service laws"",""If service not provided in time limit file appeal"",""Submit before designated appellate authority"",""Authority reviews and may impose penalty on officials"",""Service directed to be provided"",""Time-bound redressal mechanism""]",File right to service appeal government department time limit penalty
ACTION_080,Apply for Food License (FSSAI),Administrative,FSSAI,Food business operator; Manufacturing or selling food,Before starting food business,2000,20000,Yes,Medium,"[""Determine if registration or license required based on turnover"",""Apply online on FSSAI portal"",""Submit business details and premises information"",""Pay fees based on business category"",""Inspection may be conducted"",""FSSAI license/registration issued"",""Display at business premises""]",Apply food license FSSAI registration food business operator manufacturing
ACTION_081,File Unpaid Wages Complaint,Employment,Labour Commissioner,Wages not paid by employer; Salary dispute,Within 3 years from due date,0,5000,Partial,Low,"[""File complaint under Payment of Wages Act"",""Submit employment details and wage records"",""Labour Commissioner summons employer"",""Conciliation attempted first"",""If failed authority passes order for payment"",""Penalty on employer for non-payment""]",File unpaid wages complaint labour commissioner salary dispute employment
ACTION_082,File PF Withdrawal Claim,Administrative,EPFO,Resign or retire from job; Need to withdraw PF accumulation,After resignation or retirement,0,1000,Yes,Low,"[""Login to EPFO portal with UAN"",""Submit online withdrawal claim form"",""Aadhar-linked bank account required"",""Claims below Rs 50000 auto-processed"",""For higher amounts employer attestation needed"",""Amount credited within 15-20 days if compliant""]",File PF withdrawal claim EPFO provident fund UAN retirement resignation
ACTION_083,File Gratuity Claim,Employment,Employer/Labour Office,Completed 5 years of service; Resignation or retirement,Within prescribed time after separation,0,5000,Partial,Low,"[""Eligible after 5 years continuous service"",""Submit application to employer"",""Gratuity payable within 30 days of resignation"",""If employer refuses file complaint to controlling authority"",""Amount calculated based on last salary and years of service""]",File gratuity claim employment resignation retirement Payment of Gratuity Act
ACTION_084,File Maternity Benefit Claim,Employment,Employer/ESI,Pregnant employee; Maternity leave and benefits,During pregnancy and after delivery,0,5000,Partial,Low,"[""Under Maternity Benefit Act women entitled to 26 weeks leave"",""Inform employer of pregnancy in advance"",""Submit medical certificate"",""Employer must pay salary during maternity leave"",""If ESI covered file claim with ESIC"",""If employer refuses file complaint with labour inspector""]",File maternity benefit claim pregnancy leave Maternity Benefit Act ESI
ACTION_085,File Workmen Compensation Claim,Employment,Labour Commissioner,Injury or death during employment; Occupational hazard,Within 2 years of accident or death,1000,20000,Partial,Medium,"[""Under Workmen Compensation Act for work-related injury/death"",""File claim before Labour Commissioner"",""Submit medical certificates and employment proof"",""Employer liable to pay compensation"",""Amount based on wage and nature of disability"",""Can also claim under ESI if covered""]",File workmen compensation claim work injury employment Labour Commissioner
ACTION_086,File ESI Medical Claim,Administrative,ESIC,Insured employee needs medical treatment; Medical reimbursement,As per ESI rules after treatment,0,500,Yes,Low,"[""Treatment at ESI hospital is cashless"",""For treatment outside submit medical bills"",""File claim with ESIC branch office"",""Attach prescriptions bills and discharge summary"",""Claim processed within 60 days"",""Covers employee and dependent family members""]",File ESI medical claim employee state insurance medical reimbursement ESIC
ACTION_087,File Property Tax Assessment Appeal,Administrative,Municipal Appellate Authority,Disagree with property tax assessment; Excessive valuation,Within 30 days of assessment order,500,10000,Partial,Low,"[""Receive property tax assessment from municipality"",""If excessive file appeal before appellate authority"",""Submit grounds of objection with documents"",""Authority reviews assessment"",""May modify or confirm assessment"",""Pay revised tax if applicable""]",File property tax appeal assessment municipal corporation valuation
ACTION_088,File Voter ID Correction,Administrative,Electoral Office,Wrong details in voter ID; Change address or name,Anytime before elections,0,0,Yes,Low,"[""Apply online on National Voter Service Portal"",""Submit Form 8 or 8A for correction"",""Upload supporting documents"",""Electoral officer verifies"",""Updated voter ID card issued"",""Can apply for duplicate if lost""]",File voter ID correction electoral roll voter card name address change
ACTION_089,File Complaint Against Advocate,Administrative,Bar Council,Professional misconduct by lawyer; Unethical behavior,Reasonable time after incident,0,5000,Partial,Medium,"[""File complaint with State Bar Council"",""Describe misconduct with evidence"",""Bar Council constitutes disciplinary committee"",""Lawyer given opportunity to respond"",""If guilty can be suspended or disbarred"",""Can appeal to Bar Council of India""]",File complaint advocate bar council professional misconduct lawyer ethics
ACTION_090,File Senior Citizen Maintenance Case,Family,Magistrate/Tribunal,Senior citizen unable to maintain self; Children refuse support,No limitation,2000,20000,Partial,Low,"[""Under Maintenance and Welfare of Parents and Senior Citizens Act"",""File before Tribunal or Magistrate"",""Parents or senior citizens can claim maintenance from children"",""Tribunal determines maintenance amount"",""If not paid can be recovered as land revenue"",""Maximum Rs 10000 per month""]",File senior citizen maintenance case parents support children tribunal
ACTION_091,File Complaint with Medical Council,Administrative,Medical Council,Medical negligence or professional misconduct by doctor,Within reasonable time,0,5000,Partial,Medium,"[""File complaint with State Medical Council or MCI"",""Describe negligence or misconduct with evidence"",""Medical Council investigates"",""Doctor given opportunity to respond"",""If guilty can be suspended or license cancelled"",""Parallel civil suit for damages also possible""]",File medical council complaint doctor negligence professional misconduct MCI
ACTION_092,File Complaint Against Builder,Consumer,RERA/Consumer Forum,Builder delayed possession; Construction defects; Unfair practices,Within limitation period,5000,50000,Partial,Medium,"[""File before Real Estate Regulatory Authority (RERA)"",""Attach sale agreement and payment receipts"",""Complaint about delay defects or violations"",""RERA can order compensation and completion"",""Alternative forum is Consumer Court"",""Ensures accountability in real estate sector""]",File RERA complaint builder delay construction defect real estate
ACTION_093,File Complaint with Telecom Ombudsman,Administrative,Telecom Ombudsman,Telecom service provider issue not resolved; Billing dispute,Within 1 year from service provider's reply,0,0,Yes,Low,"[""First approach telecom operator and escalate"",""Wait 30 days for resolution"",""If not resolved file with Telecom Ombudsman"",""Submit complaint online with documents"",""Ombudsman decides within 30 days"",""Award binding on operator""]",File telecom ombudsman complaint mobile service billing dispute TRAI
ACTION_094,File Guardianship Petition,Family,District Court,Minor's welfare; Need legal guardian; Manage minor's property,When guardianship needed,5000,50000,Partial,Medium,"[""File under Guardians and Wards Act"",""Petition before District Judge"",""Show minor's welfare requires guardian"",""Court examines suitability of proposed guardian"",""May appoint guardian for person or property or both"",""Guardian accountable to court for minor's welfare""]",File guardianship petition minor welfare Guardian and Wards Act court
ACTION_095,File Adoption Petition,Family,District Court,Want to legally adopt child; Hindu or secular adoption,No limitation but early filing preferred,10000,100000,Partial,High,"[""Under Hindu Adoption and Maintenance Act or JJ Act"",""File before District Court"",""Prove eligibility and suitability"",""Home study report by adoption agency"",""Child Welfare Committee consent required"",""Court passes adoption order"",""Birth certificate amended with adoptive parents' names""]",File adoption petition legal adoption child Hindu Adoption Act court
ACTION_096,File Suit for Cancellation of Sale Deed,Civil,Civil Court,Sale deed obtained by fraud; Illegal transaction; No valid sale,3 years from knowledge of fraud,10000,100000,Partial,High,"[""File civil suit for cancellation and declaration"",""Prove fraud misrepresentation or illegality"",""Attach sale deed and evidence of invalidity"",""Court examines validity of transaction"",""If satisfied declares deed void"",""Property reverts to original owner""]",File cancellation sale deed suit fraud illegal transaction civil court property
ACTION_097,File Suit for Permanent Alimony,Family,Family Court,Divorce granted but alimony not settled; Need permanent maintenance,After divorce decree,5000,50000,Partial,Medium,"[""File after divorce if alimony not awarded earlier"",""Prove financial need and spouse's capacity"",""Court determines based on standard of living and means"",""Can be lump sum or monthly amount"",""Enforcement through execution if not paid"",""Subject to modification based on changed circumstances""]",File permanent alimony suit divorce maintenance family court financial support
ACTION_098,File Child Custody Petition,Family,Family Court,Parents separated; Child custody dispute; Best interest of child,During or after divorce proceedings,10000,80000,Partial,High,"[""File under Guardians and Wards Act or personal laws"",""Court prioritizes child's best interest and welfare"",""May grant sole or joint custody"",""Considers child's age preference and parents' capacity"",""Visitation rights to non-custodial parent"",""Modifiable based on changed circumstances""]",File child custody petition family court divorce guardianship best interest
ACTION_099,File Suit for Recovery of Possession,Civil,Civil Court,Illegally dispossessed from property; Forceful eviction; Adverse possession,12 years from dispossession,8000,80000,Partial,Medium,"[""File suit for possession and injunction"",""Prove prior peaceful possession"",""Show illegal dispossession by defendant"",""Court may grant injunction against dispossession"",""If possession proved decree for recovery granted"",""Execute decree with police assistance if needed""]",File recovery possession suit illegal dispossession property civil court eviction
ACTION_100,File Complaint with Electricity Ombudsman,Administrative,Electricity Ombudsman,Electricity bill dispute; Service deficiency; Metering issue,Within 2 months from electricity company's reply,0,500,Yes,Low,"[""First approach electricity distribution company"",""Escalate complaint to senior officials"",""If not resolved within 2 months file with ombudsman"",""Submit complaint with bills and correspondence"",""Ombudsman hears both parties"",""Order binding on electricity company"",""Fast-track redressal for consumer grievances""]",File electricity ombudsman complaint billing dispute metering service deficiency power
