section_id,section_number,act_name,chapter_name,section_title,full_text,layman_explanation,category,severity_level,punishment_summary,max_punishment_years,cognizable,bailable,applicable_states,is_compoundable,embedding_text
IPC_426,Section 426,Indian Penal Code 1860,Offences Against Property,Punishment for mischief,Punishment for mischief includes imprisonment up to three months or fine or both.,This section prescribes punishment for basic mischief.,Criminal,Minor,Imprisonment or Fine,0.25,Yes,Yes,All India,Yes,IPC 426 punishment for mischief explanation
IPC_427,Section 427,Indian Penal Code 1860,Offences Against Property,Mischief causing damage of fifty rupees,Mischief causing loss of fifty rupees or more is punishable.,This section applies when mischief causes significant monetary loss.,Criminal,Moderate,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 427 mischief damage explanation
IPC_428,Section 428,Indian Penal Code 1860,Offences Against Property,Mischief by killing or maiming animal,Killing or maiming animals of value is punishable.,This section protects animals from intentional harm.,Criminal,Moderate,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 428 mischief to animals explanation
IPC_429,Section 429,Indian Penal Code 1860,Offences Against Property,Mischief by killing cattle or valuable animals,Killing or maiming cattle or valuable animals is punishable with imprisonment up to five years.,This section applies to serious harm to cattle or valuable animals.,Criminal,Severe,Imprisonment or Fine,5,Yes,No,All India,No,IPC 429 mischief killing cattle explanation
IPC_435,Section 435,Indian Penal Code 1860,Offences Against Property,Mischief by fire or explosive,Mischief by fire or explosive causing property damage is punishable.,This section applies to arson causing significant damage.,Criminal,Severe,Imprisonment and Fine,7,Yes,No,All India,No,IPC 435 mischief by fire explanation
IPC_436,Section 436,Indian Penal Code 1860,Offences Against Property,Mischief by fire destroying house,Mischief by fire destroying a house or place of worship is punishable with life imprisonment.,This section covers arson of houses or religious buildings.,Criminal,Severe,Life Imprisonment,Life,Yes,No,All India,No,IPC 436 arson of house explanation
IPC_191,Section 191,Indian Penal Code 1860,False Evidence and Offences Against Public Justice,Giving false evidence,"Whoever, being legally bound to state the truth, makes a false statement which he knows or believes to be false is said to give false evidence.",This section applies when a person lies under oath or makes a false declaration while legally bound to tell the truth.,Criminal,Severe,Definition Only,0,Yes,No,All India,No,IPC 191 giving false evidence explanation
IPC_192,Section 192,Indian Penal Code 1860,False Evidence and Offences Against Public Justice,Fabricating false evidence,"Whoever creates false circumstances, records or documents intending them to be used as evidence to mislead judicial or legal proceedings commits fabrication of false evidence.",This section applies when someone creates fake evidence or records to mislead courts or public authorities.,Criminal,Severe,Definition Only,0,Yes,No,All India,No,IPC 192 fabricating false evidence explanation
IPC_193,Section 193,Indian Penal Code 1860,False Evidence and Offences Against Public Justice,Punishment for false evidence,Giving or fabricating false evidence in judicial proceedings is punishable with imprisonment up to seven years; otherwise up to three years.,"This section provides punishment for perjury and fabrication of evidence, with higher punishment for judicial proceedings.",Criminal,Severe,Imprisonment and Fine,7,Yes,No,All India,No,IPC 193 punishment for false evidence explanation
IPC_197,Section 197,Indian Penal Code 1860,False Evidence and Offences Against Public Justice,Issuing or signing false certificate,Whoever issues or signs a certificate knowing it to be false shall be punished as if he gave false evidence.,This section applies when a false certificate is knowingly issued or signed for legal use.,Criminal,Severe,Same as Section 193,7,Yes,No,All India,No,IPC 197 false certificate explanation
IPC_198,Section 198,Indian Penal Code 1860,False Evidence and Offences Against Public Justice,Using as true a certificate known to be false,Whoever uses a certificate knowing it to be false shall be punished as if he gave false evidence.,This section applies to using fake certificates in legal or official matters.,Criminal,Severe,Same as Section 193,7,Yes,No,All India,No,IPC 198 using false certificate explanation
IPC_171A,Section 171A,Indian Penal Code 1860,Offences Relating to Elections,Definitions of candidate and electoral right,This section defines the terms candidate and electoral right for the purposes of election offences.,This section only defines who is a candidate and what electoral rights mean in elections.,Criminal,Minor,Definition Only,0,NA,NA,All India,NA,IPC 171A election definitions explanation
IPC_171B,Section 171B,Indian Penal Code 1860,Offences Relating to Elections,Bribery,Giving or accepting gratification to influence the exercise of any electoral right constitutes bribery.,"This section applies when money, gifts or benefits are given or taken to influence voting or candidature.",Criminal,Moderate,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 171B bribery in elections explanation
IPC_171C,Section 171C,Indian Penal Code 1860,Offences Relating to Elections,Undue influence at elections,Voluntarily interfering with the free exercise of electoral rights is undue influence.,"This section applies when threats, religious pressure or coercion are used to influence voters or candidates.",Criminal,Moderate,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 171C undue influence election explanation
IPC_171D,Section 171D,Indian Penal Code 1860,Offences Relating to Elections,Personation at elections,Voting in the name of another person or multiple voting constitutes personation.,This section applies when someone votes fraudulently or impersonates another voter.,Criminal,Moderate,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 171D personation election explanation
IPC_171E,Section 171E,Indian Penal Code 1860,Offences Relating to Elections,Punishment for bribery,Bribery at elections is punishable with imprisonment up to one year or fine or both.,This section prescribes punishment for election bribery; treating is punishable with fine only.,Criminal,Moderate,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 171E punishment for election bribery explanation
IPC_171F,Section 171F,Indian Penal Code 1860,Offences Relating to Elections,Punishment for undue influence or personation,Undue influence or personation at elections is punishable with imprisonment up to one year or fine or both.,This section provides punishment for coercion or impersonation during elections.,Criminal,Moderate,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 171F punishment undue influence personation explanation
IPC_171G,Section 171G,Indian Penal Code 1860,Offences Relating to Elections,False statement in connection with election,Making false statements about a candidate’s personal character to affect election results is punishable with fine.,This section applies to spreading false information or fake news about candidates during elections.,Criminal,Minor,Fine Only,0,Yes,Yes,All India,Yes,IPC 171G false election statements explanation
IPC_171H,Section 171H,Indian Penal Code 1860,Offences Relating to Elections,Illegal payments in connection with election,Unauthorized election expenses for promoting a candidate are punishable with fine.,This section regulates election spending and punishes unauthorized campaign expenses.,Criminal,Minor,Fine Only,0,Yes,Yes,All India,Yes,IPC 171H illegal election payments explanation
IPC_171I,Section 171I,Indian Penal Code 1860,Offences Relating to Elections,Failure to keep election accounts,Failure to maintain proper election expense accounts is punishable.,This section applies when a candidate fails to keep or submit election expense accounts as required.,Criminal,Minor,Fine Only,0,Yes,Yes,All India,Yes,IPC 171I failure to keep election accounts explanation
IPC_141,Section 141,Indian Penal Code 1860,Offences Against Public Tranquillity,Unlawful assembly,An assembly of five or more persons with a common object to commit an offence or disturb public peace is called an unlawful assembly.,This section defines unlawful assembly. It applies when five or more people gather with an illegal or violent common purpose.,Criminal,Moderate,Definition Only,0,Yes,No,All India,No,IPC 141 unlawful assembly definition explanation
IPC_146,Section 146,Indian Penal Code 1860,Offences Against Public Tranquillity,Rioting,"Whenever force or violence is used by an unlawful assembly in pursuit of its common object, every member is guilty of rioting.",This section defines rioting. It applies when an unlawful assembly uses violence or force.,Criminal,Moderate,Definition Only,0,Yes,No,All India,No,IPC 146 rioting definition explanation
IPC_147,Section 147,Indian Penal Code 1860,Offences Against Public Tranquillity,Punishment for rioting,Whoever is guilty of rioting shall be punished with imprisonment up to two years or fine or both.,This section prescribes punishment for the offence of rioting.,Criminal,Moderate,Imprisonment or Fine,2,Yes,No,All India,No,IPC 147 punishment for rioting explanation
